OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
1394	299	299	Prior	C. Aurelius Valerius Diocletianus Augustus VII	n		https://en.wikipedia.org/wiki/Diocletian		
3057	299	299	Posterior	M. Aurelius Valerius Maximianus Augustus VI	n		https://en.wikipedia.org/wiki/Maximian		
1395	300	300	Prior	M. Flavius Valerius Constantius Caesar III	n		https://en.wikipedia.org/wiki/Constantius_Chlorus		
3058	300	300	Posterior	C. Galerius Valerius Maximianus Caesar III	n		https://en.wikipedia.org/wiki/Galerius		
1396	301	301	Prior	T. Flavius Postumius Titianus II	x		https://en.wikipedia.org/wiki/Titus_Flavius_Postumius_Titianus		
3059	301	301	Posterior	Virius Nepotianus	x				
1397	302	302	Prior	M. Flavius Valerius Constantius Caesar IV	n		https://en.wikipedia.org/wiki/Constantius_Chlorus		
3060	302	302	Posterior	C. Galerius Valerius Maximianus Caesar IV	n		https://en.wikipedia.org/wiki/Galerius		
1398	303	303	Prior	C. Aurelius Valerius Diocletianus Augustus VIII	n		https://en.wikipedia.org/wiki/Diocletian		
3061	303	303	Posterior	M. Aurelius Valerius Maximianus Augustus VII	n		https://en.wikipedia.org/wiki/Maximian		
1399	304	304	Prior	C. Aurelius Valerius Diocletianus Augustus IX	n		https://en.wikipedia.org/wiki/Diocletian		
3062	304	304	Posterior	M. Aurelius Valerius Maximianus Augustus VIII	n		https://en.wikipedia.org/wiki/Maximian		
1400	305	305	Prior	M. Flavius Valerius Constantius Caesar V	n		https://en.wikipedia.org/wiki/Constantius_Chlorus		
3063	305	305	Posterior	C. Galerius Valerius Maximianus Caesar V	n		https://en.wikipedia.org/wiki/Galerius		
1401	306	306	Prior	M. Flavius Valerius Constantius Augustus VI	x		https://en.wikipedia.org/wiki/Constantius_Chlorus		
3064	306	306	Posterior	C. Galerius Valerius Maximianus Augustus VI	n		https://en.wikipedia.org/wiki/Galerius		
1402	307	307	Prior	(a) Flavius Valerius Severus Augustus (until Sept.)	x		https://en.wikipedia.org/wiki/Severus_II		
1403	307	307	Prior	(b) M. Aurelius Valerius Maximianus Augustus IX (Italy)	n		https://en.wikipedia.org/wiki/Constantine_the_Great		
1404	307	307	Prior	(c) C. Galerius Valerius Maximianus Augustus VII (until Apr.)	n		https://en.wikipedia.org/wiki/Maximinus_Daza		
