OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
867	75	75	suff. (I)	Caesar Domitianus III (attested 12 Mar. / 28 Apr.)	n		https://en.wikipedia.org/wiki/Domitian	inconsistent	
2529	75	75	Posterior	T. Caesar Vespasianus IV	n	2228	https://en.wikipedia.org/wiki/Titus		
2530	75	75	suff. (II)	L. Pasidienus Firmus (attested 12 Mar. / 28 Apr.)	x	2246			
868	76	76	Prior	Imp. Caesar Vespasianus Augustus VII	n		https://en.wikipedia.org/wiki/Vespasian	inconsistent - no base name found	
869	76	76	suff. (I)	Caesar Domitianus IV	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
870	76	76	suff. (I)	(?) L. Tampius Flavianus II	x		https://en.wikipedia.org/wiki/Lucius_Tampius_Flavianus	inconsistent	
871	76	76	suff. (I)	Galeo Tettienus Petronianus (attested 2 Dec.)	x	2247			
2531	76	76	Posterior	T. Caesar Vespasianus V	n	2228	https://en.wikipedia.org/wiki/Titus		
2532	76	76	suff. (II)	unidentified	n			inconsistent	
2533	76	76	suff. (II)	(?) M. Pompeius Silvanus Staberius Flavianus II	x			inconsistent	
2534	76	76	suff. (II)	M. Fulvius Gillo (attested 2 Dec.)	x	2248			
872	77	77	Prior	Imp. Caesar Vespasianus Augustus VIII	n		https://en.wikipedia.org/wiki/Vespasian	inconsistent - no base name found	
873	77	77	suff. (I)	Caesar Domitianus V	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
874	77	77	Sep.? (I)	(?) L. Pompeius Vopiscus C. Arruntius Catellius Celer	x	2249	https://en.wikipedia.org/wiki/Gaius_Catellius_Celer		
875	77	77	Nov.? (I)	Cn. Julius Agricola	x	2250	https://en.wikipedia.org/wiki/Gnaeus_Julius_Agricola		
2535	77	77	Posterior	T. Caesar Vespasianus VI	n	2228	https://en.wikipedia.org/wiki/Titus		
2536	77	77	suff. (II)	unidentified	n			inconsistent	
2537	77	77	Sep.? (II)	(?) M. Arruntius Aquila	x	2251			
2538	77	77	Nov.? (II)	unidentified	n			inconsistent	
876	78	78	Prior	D. Junius Novius Priscus	x	2252	https://en.wikipedia.org/wiki/Decimus_Junius_Novius_Priscus		
877	78	78	May.? (I)	(Q. Articuleius?) Paetus	x	2253	https://en.wikipedia.org/wiki/Quintus_Articuleius_Paetus		
878	78	78	Sep.? (I)	Q. Corellius Rufus	x	2254	https://en.wikipedia.org/wiki/Quintus_Corellius_Rufus		
2539	78	78	Posterior	L. Ceionius Commodus	x	2255			
2540	78	78	May.? (II)	Sex. Vitulasius Nepos	x	2256			
2541	78	78	Sep.? (II)	L. Funisulanus Vettonianus	x	2257			
879	79	79	Prior	Imp. Caesar Vespasianus Augustus IX	n		https://en.wikipedia.org/wiki/Vespasian	inconsistent - no base name found	
880	79	79	suff. (I)	Caesar Domitianus VI	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
881	79	79	1 Mar. (I)	L. Junius Caesennius Paetus 	x	2258	https://en.wikipedia.org/wiki/Lucius_Junius_Caesennius_Paetus		
882	79	79	suff. (I)	T. Rubrius Aelius Nepos (attested 8 Sep.)	x	2259			
2542	79	79	Posterior	T. Caesar Vespasianus VII	n	2228	https://en.wikipedia.org/wiki/Titus		
2543	79	79	suff. (II)	unidentified	n			inconsistent	
2544	79	79	1 Mar. (II)	P. Calvisius Ruso	x	2260			
2545	79	79	suff. (II)	M. Arrius Flaccus	x	2261			
883	80	80	Prior	Imp. T. Caesar Vespasianus Augustus VIII	xp		https://en.wikipedia.org/wiki/Titus	inconsistent - no base name found	
884	80	80	id. Jan. (I)	A. Didius Gallus Fabricius Veiento II	x		https://en.wikipedia.org/wiki/Aulus_Didius_Gallus_Fabricius_Veiento	inconsistent	
885	80	80	Mar.? (I)	Q. Aurelius Pactumeius Fronto	x	2262	https://en.wikipedia.org/wiki/Quintus_Aurelius_Pactumeius_Fronto		
886	80	80	May? (I)	C. Marius Marcellus Octavius P. Cluvius Rufus	x	2263			
887	80	80	1 Jul. (I)	unidentified	n			inconsistent	
888	80	80	Sep.? (I)	L. Acilius Strabo	x	2264	https://en.wikipedia.org/wiki/Lucius_Acilius_Strabo		
889	80	80	Nov.? (I)	M. Tittius Frugi	x	2265			
2546	80	80	Posterior	Caesar Domitianus VII	n			inconsistent - no base name found	
2547	80	80	id. Jan. (II)	L. Aelius Plautius Lamia Aelianus	x	2266			
2550	80	80	1 Jul. (II)	Q. Pompeius Trio	x	2267			
2551	80	80	Sep.? (II)	Sex. Neranius Capito	x	2268			
2552	80	80	Nov.? (II)	M. Vinicius Julius Rufus	x	2269			
890	81	81	Prior	L. Flavius Silva Nonius Bassus	x	2270	https://en.wikipedia.org/wiki/Lucius_Flavius_Silva_Nonius_Bassus		
891	81	81	Mar.? (I)	M. Roscius Coelius	x	2271	https://en.wikipedia.org/wiki/Marcus_Roscius_Coelius		
892	81	81	May? (I)	L. Julius Vettius Paullus	x	2272			
893	81	81	1 Jul. (I)	C. Scoedius Natta Pinarianus	x	2273			
894	81	81	Sep.? (I)	M. Petronius Umbrinus	x	2274			
895	81	81	1 Nov. (I)	L. Turpilius Dexter	x	2275			
2553	81	81	Posterior	M. Asinius Pollio Verrucosus	x	2276			
2554	81	81	Mar.? (II)	C. Julius Juvenalis	x	2277			
2555	81	81	May? (II)	T. Junius Montanus	x	2278			
2556	81	81	1 Jul. (II)	T. Tettienus Serenus	x	2279			
2557	81	81	Sep.? (II)	L. Carminius Lusitanicus	x	2280			
2558	81	81	1 Nov. (II)	M. Maecius Rufus	x	2281			
896	82	82	Prior	Imp. Caesar Domitianus Augustus VIII	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
897	82	82	Feb.? (I)	(? Servaeus In)noc(ens)	x	2282			
898	82	82	Mar.? (I)	(…)an(us)	x	2283			
899	82	82	Apr.? (I)	(M. Mettius? Mo)dest(us)	x	2284			
900	82	82	May? (I)	unidentified	n			inconsistent	
901	82	82	Jul.? (I)	P. Valerius Patruinus	x	2285	https://en.wikipedia.org/wiki/Publius_Valerius_Patruinus		
902	82	82	Sep.? (I)	M. Larcius Magnus Pompeius Silo	x	2286	https://en.wikipedia.org/wiki/Marcus_Larcius_Magnus_Pompeius_Silo		
903	82	82	Nov.? (I)	unidentified	n			inconsistent	
2559	82	82	Posterior	T. Flavius Sabinus	x	2287			
2560	82	82	Feb.? (II)	L. Salvius Otho Cocceianus	x	2288			
2561	82	82	Mar.? (II)	M'. Acilius Aviola	x	2289			
2562	82	82	Apr.? (II)	unidentified	n			inconsistent	
2563	82	82	May? (II)	unidentified	n			inconsistent	
2564	82	82	Jul.? (II)	L. Antonius Saturninus	x	2290			
2565	82	82	Sep.? (II)	T. Aurelius Quietus	x	2291			
2566	82	82	Nov.? (II)	unidentified	n			inconsistent	
904	83	83	Prior	Imp. Caesar Domitianus Augustus IX	xp		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
905	83	83	Feb.? (I)	A. Didius Gallus Fabricius Veiento III	n		https://en.wikipedia.org/wiki/Aulus_Didius_Gallus_Fabricius_Veiento	inconsistent - no base name found	
906	83	83	Mar.? (I)	(?) M. Arrecinus Clemens II	x		https://en.wikipedia.org/wiki/Marcus_Arrecinus_Clemens_(consul)	inconsistent	
907	83	83	May? (I)	L. Tettius Julianus	x	2292	https://en.wikipedia.org/wiki/Lucius_Tettius_Julianus		
908	83	83	Sep.? (I)	L. Calventius Sex. Carminius Vetus	x	2293	https://en.wikipedia.org/wiki/Lucius_Calventius_Sextus_Carminius_Vetus		
909	83	83	Nov.? (I)	unidentified	n			inconsistent	
2567	83	83	Posterior	Q. Petillius Rufus II	x			inconsistent	
2568	83	83	Feb.? (II)	L. Junius Q. Vibius Crispus III	n			inconsistent - no base name found	
2569	83	83	Mar.? (II)	(?) L. Baebius Honoratus	x	2294			
2570	83	83	May? (II)	Terentius Strabo Erucius Homullus	x	2295			
2571	83	83	Sep.? (II)	M. Cornelius Nigrinus Curiatius Maternus	x	2296			
2572	83	83	Nov.? (II)	unidentified	n			inconsistent	
910	84	84	Prior	Imp. Caesar Domitianus Augustus X	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
911	84	84	suff. (I)	(?) C. Fisius Sabinus (attested 24 Apr.)	x	2297			
912	84	84	Jul.? (I)	unidentified	n			inconsistent	
913	84	84	Sep.? (I)	C. Tullius Capito Pomponianus Plotius Firmus	x	2298			
914	84	84	Nov.? (I)	unidentified	n			inconsistent	
2573	84	84	Posterior	C. Oppius Sabinus	x	2299			
2574	84	84	suff. (II)	(?) M. Annius Messalla (attested 24 Apr.)	x	2300			
2575	84	84	Jul.? (II)	L. Julius Ursus	x	2301			
2576	84	84	Sep.? (II)	C. Cornelius Gallicanus	x	2302			
2577	84	84	Nov.? (II)	(P. Glitius? G)allus	x	2303			
915	85	85	Prior	Imp. Caesar Domitianus Augustus XI	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
916	85	85	Mar.? (I)	Q. Julius Cordinus C. Rutilius Gallicus II	n	2237	https://en.wikipedia.org/wiki/Quintus_Julius_Cordinus_Gaius_Rutilius_Gallicus		
917	85	85	May? (I)	L. Aelius Oculatus	x	2304			
918	85	85	Jul.? (I)	P. Herennius Pollio	x	2305			
919	85	85	Sep.? (I)	D. Aburius Bassus	x	2306			
920	85	85	Nov.? (I)	C. Salvius Liberalis Nonius Bassus	x	2307	https://en.wikipedia.org/wiki/Gaius_Salvius_Liberalis		
2578	85	85	Posterior	T. Aurelius Fulvus II	x			inconsistent	
2579	85	85	Mar.? (II)	L. Valerius Catullus Messallinus II	n	2241			
2580	85	85	May? (II)	Q. Gavius Atticus	x	2308			
2581	85	85	Jul.? (II)	M. Annius Herennius Pollio	x	2309			
2582	85	85	Sep.? (II)	Q. Julius Balbus	x	2310			
2583	85	85	Nov.? (II)	Cornelius Orestes	x	2311			
921	86	86	Prior	Imp. Caesar Domitianus Augustus XII	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
922	86	86	id. Jan. (I)	C. Secius Campanus	x	2312			
923	86	86	Mar.? (I)	unidentified	n			inconsistent	
924	86	86	45413 (I)	Sex. Octavius Fronto	x	2313	https://en.wikipedia.org/wiki/Sextus_Octavius_Fronto		
925	86	86	1 Sep. (I)	A. Bucius Lappius Maximus	x	2314	https://en.wikipedia.org/wiki/Aulus_Bucius_Lappius_Maximus		
2584	86	86	Posterior	Ser. Cornelius Dolabella Petronianus	x	2315			
2586	86	86	Mar.? (II)	Q. Vibius Secundus	x	2316			
2587	86	86	45413 (II)	Ti. Julius Candidus Marius Celsus	x	2317			
2588	86	86	1 Sep. (II)	C. Octavius Tidius Tossianus L. Javolenus Priscus	x	2318			
926	87	87	Prior	Imp. Caesar Domitianus Augustus XIII	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
927	87	87	id. Jan. (I)	C. Calpurnius Piso Crassus Frugi Licinianus	x	2319	https://en.wikipedia.org/wiki/Gaius_Calpurnius_Piso_Crassus_Frugi_Licinianus		
928	87	87	45413 (I)	C. Bellicus Natalis P. Gavidius Tebanianus	x	2320			
929	87	87	1 Sep. (I)	C. Cilnius Proculus	x	2321	https://en.wikipedia.org/wiki/Gaius_Cilnius_Proculus		
2589	87	87	Posterior	L. Volusius Saturninus	x	2322			
2591	87	87	45413 (II)	C. Ducenius Proculus	x	2323			
2592	87	87	1 Sep. (II)	L. Neratius Priscus	x	2324			
930	88	88	Prior	Imp. Caesar Domitianus Augustus XIV	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
931	88	88	id. Jan. (I)	D. Plotius Grypus	x	2325	https://en.wikipedia.org/wiki/Plotius_Grypus		
932	88	88	45413 (I)	Q. Ninnius Hasta	x	2326			
933	88	88	1 Sep. (I)	M'. Otacilius Catulus	x	2327			
2593	88	88	Posterior	L. Minicius Rufus	x	2328			
2595	88	88	45413 (II)	(L. Scribonius?) Libo (Rupilius?) Frugi	x	2329			
2596	88	88	1 Sep. (II)	Sex. Julius Sparsus	x	2330			
934	89	89	Prior	T. Aurelius Fulvus	x	2331	https://en.wikipedia.org/wiki/Titus_Aurelius_Fulvus_(father_of_Antoninus_Pius)		
935	89	89	45413 (I)	P. Sallustius Blaesus	x	2332	https://en.wikipedia.org/wiki/Publius_Sallustius_Blaesus		
936	89	89	1 Sep. (I)	A. Vicirius Proculus	x	2333	https://en.wikipedia.org/wiki/Aulus_Vicirius_Proculus		
2597	89	89	Posterior	M. Asinius Atratinus	x	2334			
2598	89	89	45413 (II)	M. Peducaeus Saenianus	x	2335			
2599	89	89	1 Sep. (II)	M'. Laberius Maximus	x	2336			
937	90	90	Prior	Imp. Caesar Domitianus Augustus XV	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
938	90	90	id. Jan. (I)	L. Cornelius Pusio Annius Messalla	x	2337	https://en.wikipedia.org/wiki/Lucius_Cornelius_Pusio_Annius_Messalla		
939	90	90	1 Mar. (I)	L. Antistius Rusticus	x	2338	https://en.wikipedia.org/wiki/Lucius_Antistius_Rusticus		
940	90	90	45413 (I)	Q. Accaeus Rufus	x	2339			
941	90	90	1 Jul. (I)	P. Baebius Italicus	x	2340	https://en.wikipedia.org/wiki/Publius_Baebius_Italicus		
942	90	90	1 Sep. (I)	L. Albius Pullaienus Pollio	x	2341			
943	90	90	1 Nov. (I)	M. Tullius Cerialis	x	2342			
2600	90	90	Posterior	M. Cocceius Nerva II	n	2233			
2602	90	90	1 Mar. (II)	Ser. Julius Servianus	x	2343			
2603	90	90	45413 (II)	C. Caristanius Fronto	x	2344			
2604	90	90	1 Jul. (II)	C. Aquilius Proculus	x	2345			
2605	90	90	1 Sep. (II)	Cn. Pinarius Aemilius Cicatricula Pompeius Longinus	x	2346			
2606	90	90	1 Nov. (II)	Cn. Pompeius Catullinus	x	2347			
944	91	91	Prior	M'. Acilius Glabrio	x	2348	https://en.wikipedia.org/wiki/Manius_Acilius_Glabrio_(consul_91)		
945	91	91	45413 (I)	Cn. Minicius Faustinus	x	2349			
946	91	91	1 Sep. (I)	Q. Valerius Vegetus	x	2350			
2607	91	91	Posterior	M. Ulpius Trajanus	x	2351			
2608	91	91	45413 (II)	P. Valerius Marinus	x	2352			
2609	91	91	1 Sep. (II)	P. Metilius Sabinus Nepos	x	2353			
947	92	92	Prior	Imp. Caesar Domitianus Augustus XVI	n		https://en.wikipedia.org/wiki/Domitian	inconsistent - no base name found	
948	92	92	id. Jan. (I)	L. Venuleius Montanus Apronianus	x	2354	https://en.wikipedia.org/wiki/Lucius_Venuleius_Montanus_Apronianus		
949	92	92	45413 (I)	L. Stertinius Avitus	x	2355	https://en.wikipedia.org/wiki/Lucius_Stertinius_Avitus		
950	92	92	1 Sep. (I)	C. Julius Silanus	x	2356	https://en.wikipedia.org/wiki/Gaius_Julius_Silanus		
2610	92	92	Posterior	Q. Volusius Saturninus	x	2357			
2612	92	92	45413 (II)	Ti. Julius Celsus Polemaeanus	x	2358			
2613	92	92	1 Sep. (II)	Q. Junius Arulenus Rusticus	x	2359			
951	93	93	Prior	Sex. Pompeius Collega	x	2360	https://en.wikipedia.org/wiki/Sextus_Pompeius_Collega		
952	93	93	45413 (I)	T. Avidius Quietus	x	2361	https://en.wikipedia.org/wiki/Titus_Avidius_Quietus		
953	93	93	1 Sep. (I)	C. Cornelius Rarus Sextius Na(so?)	x	2362	https://en.wikipedia.org/wiki/Gaius_Cornelius_Rarus_Sextius_Naso		
2614	93	93	Posterior	Q. Peducaeus Priscinus	x	2363			
2615	93	93	45413 (II)	Sex. Lusianus Proculus	x	2364			
2616	93	93	1 Sep. (II)	(? Tuccius Ceria)lis	x	2365			
954	94	94	Prior	L. Nonius Calpurnius Asprenas Torquatus	x	2366	https://en.wikipedia.org/wiki/Lucius_Nonius_Calpurnius_Torquatus_Asprenas		
