Title	RulerID	Period	Notes
Roman Consul	1569	92BC	Prior
Roman Consul	1607	91BC	Posterior
Roman Consul	1732	91BC	Prior
Roman Consul	1735	90BC	Posterior
Roman Consul	1734	90BC	Prior
Roman Consul	1737	89BC	Posterior
Roman Consul	1736	89BC	Prior
Roman Consul	1739	88BC	Posterior
Roman Consul	1738	88BC	Prior
Roman Consul	1665	87BC	Posterior
Roman Consul	1592	87BC	Prior
Roman Consul	1536	87BC	suff. (II)
Roman Consul	1705	86BC	Posterior
Roman Consul	1665	86BC	Prior
Roman Consul	1429	86BC	suff. (II)
Roman Consul	1693	85BC	Posterior
Roman Consul	1665	85BC	Prior
Roman Consul	1665	84BC	Posterior
Roman Consul	1693	84BC	Prior
Roman Consul	1746	83BC	Posterior
Roman Consul	1745	83BC	Prior
Roman Consul	1693	82BC	Posterior
Roman Consul	1705	82BC	Prior
Roman Consul	1604	81BC	Posterior
Roman Consul	1748	81BC	Prior
Roman Consul	1750	80BC	Posterior
Roman Consul	2051	80BC	Prior
Roman Consul	1506	79BC	Posterior
Roman Consul	1751	79BC	Prior
Roman Consul	1713	78BC	Posterior
Roman Consul	1393	78BC	Prior
Roman Consul	1756	77BC	Posterior
Roman Consul	1755	77BC	Prior
Roman Consul	1758	76BC	Posterior
Roman Consul	1592	76BC	Prior
Roman Consul	1444	75BC	Posterior
Roman Consul	1759	75BC	Prior
Roman Consul	1762	74BC	Posterior
Roman Consul	1616	74BC	Prior
Roman Consul	1582	73BC	Posterior
Roman Consul	1763	73BC	Prior
Roman Consul	1766	72BC	Posterior
Roman Consul	1765	72BC	Prior
Roman Consul	1768	71BC	Posterior
Roman Consul	1767	71BC	Prior
Roman Consul	1770	70BC	Posterior
Roman Consul	1769	70BC	Prior
Roman Consul	1772	69BC	Posterior
Roman Consul	1771	69BC	Prior
Roman Consul	1683	68BC	Posterior
Roman Consul	1446	68BC	Prior
Roman Consul	1774	68BC	suff. (I)
Roman Consul	1541	67BC	Posterior
Roman Consul	1563	67BC	Prior
Roman Consul	1779	66BC	Posterior
Roman Consul	1393	66BC	Prior
