Title	RulerID	Period	Notes
Consular Tribune	1117	369BC	Consular tribunes
Consular Tribune	1267	369BC	Consular tribunes
Consular Tribune	1247	368BC	Consular tribunes
Consular Tribune	1283	368BC	Consular tribunes
Consular Tribune	1146	368BC	Consular tribunes
Consular Tribune	1055	368BC	Consular tribunes
Consular Tribune	1291	368BC	Consular tribunes
Consular Tribune	1292	368BC	Consular tribunes
Consular Tribune	1159	367BC	Consular tribunes
Consular Tribune	1125	367BC	Consular tribunes
Consular Tribune	1292	367BC	Consular tribunes
Consular Tribune	1117	367BC	Consular tribunes
Consular Tribune	1270	367BC	Consular tribunes
Consular Tribune	1257	367BC	Consular tribunes
Roman Consul	1295	366BC	Posterior
Roman Consul	1237	366BC	Prior
Roman Consul	1297	365BC	Posterior
Roman Consul	1296	365BC	Prior
Roman Consul	1299	364BC	Posterior
Roman Consul	1268	364BC	Prior
Roman Consul	1237	363BC	Posterior
Roman Consul	1300	363BC	Prior
Roman Consul	1296	362BC	Posterior
Roman Consul	1297	362BC	Prior
Roman Consul	1268	361BC	Posterior
Roman Consul	1301	361BC	Prior
Roman Consul	1303	360BC	Posterior
Roman Consul	1267	360BC	Prior
Roman Consul	1305	359BC	Posterior
Roman Consul	1304	359BC	Prior
Roman Consul	1307	358BC	Posterior
Roman Consul	1306	358BC	Prior
Roman Consul	1305	357BC	Posterior
Roman Consul	1308	357BC	Prior
Roman Consul	1304	356BC	Posterior
Roman Consul	1267	356BC	Prior
Roman Consul	1309	355BC	Posterior
Roman Consul	1268	355BC	Prior
Roman Consul	1310	354BC	Posterior
Roman Consul	1267	354BC	Prior
Roman Consul	1309	353BC	Posterior
Roman Consul	1268	353BC	Prior
Roman Consul	1308	352BC	Posterior
Roman Consul	1020	352BC	Prior
Roman Consul	1312	351BC	Posterior
Roman Consul	1268	351BC	Prior
Roman Consul	1313	350BC	Posterior
Roman Consul	1304	350BC	Prior
Roman Consul	1315	349BC	Posterior
Roman Consul	1314	349BC	Prior
Roman Consul	1304	348BC	Posterior
Roman Consul	1316	348BC	Prior
Roman Consul	1318	347BC	Posterior
Roman Consul	1317	347BC	Prior
Roman Consul	1303	346BC	Posterior
Roman Consul	1316	346BC	Prior
Roman Consul	1320	345BC	Posterior
Roman Consul	1319	345BC	Prior
Roman Consul	1318	344BC	Posterior
Roman Consul	1308	344BC	Prior
Roman Consul	1321	343BC	Posterior
Roman Consul	1316	343BC	Prior
Roman Consul	1308	342BC	Posterior
Roman Consul	1297	342BC	Prior
Roman Consul	1322	341BC	Posterior
Roman Consul	1317	341BC	Prior
Roman Consul	1323	340BC	Posterior
Roman Consul	1318	340BC	Prior
Roman Consul	1325	339BC	Posterior
Roman Consul	1324	339BC	Prior
Roman Consul	1327	338BC	Posterior
Roman Consul	1314	338BC	Prior
Roman Consul	1329	337BC	Posterior
Roman Consul	1328	337BC	Prior
Roman Consul	1331	336BC	Posterior
Roman Consul	1146	336BC	Prior
Roman Consul	1316	335BC	Posterior
Roman Consul	1332	335BC	Prior
Roman Consul	1334	334BC	Posterior
Roman Consul	1333	334BC	Prior
Dictator	1335	333BC	Dictator
Dictator	1335	333BC	Dictator
Roman Consul	1321	332BC	Posterior
Roman Consul	1336	332BC	Prior
Roman Consul	1338	331BC	Posterior
Roman Consul	1285	331BC	Prior
Roman Consul	1339	330BC	Posterior
Roman Consul	1146	330BC	Prior
Roman Consul	1340	329BC	Posterior
Roman Consul	1322	329BC	Prior
Roman Consul	1342	328BC	Posterior
Roman Consul	1341	328BC	Prior
Roman Consul	1325	327BC	Posterior
Roman Consul	1343	327BC	Prior
Roman Consul	1251	326BC	Posterior
Roman Consul	1303	326BC	Prior
Roman Consul	1345	325BC	Posterior
Roman Consul	1314	325BC	Prior
Dictator	1346	324BC	Dictator
Dictator	1346	324BC	Dictator
Roman Consul	1347	323BC	Posterior
Roman Consul	1328	323BC	Prior
Roman Consul	1349	322BC	Posterior
Roman Consul	1348	322BC	Prior
Roman Consul	1333	321BC	Posterior
Roman Consul	1334	321BC	Prior
Roman Consul	1251	320BC	Posterior
Roman Consul	1325	320BC	Prior
Roman Consul	1347	319BC	Posterior
Roman Consul	1251	319BC	Prior
Roman Consul	1339	318BC	Posterior
Roman Consul	1350	318BC	Prior
Roman Consul	1353	317BC	Posterior
Roman Consul	1352	317BC	Prior
Roman Consul	1304	316BC	Posterior
Roman Consul	1049	316BC	Prior
Roman Consul	1325	315BC	Posterior
Roman Consul	1251	315BC	Prior
Roman Consul	1328	314BC	Posterior
Roman Consul	1356	314BC	Prior
Roman Consul	1352	313BC	Posterior
Roman Consul	1251	313BC	Prior
Roman Consul	1323	312BC	Posterior
Roman Consul	1357	312BC	Prior
Roman Consul	1353	311BC	Posterior
Roman Consul	1352	311BC	Prior
Roman Consul	1359	310BC	Posterior
Roman Consul	1348	310BC	Prior
Dictator	1346	309BC	Dictator
Dictator	1346	309BC	Dictator
Roman Consul	1348	308BC	Posterior
Roman Consul	1323	308BC	Prior
Roman Consul	1361	307BC	Posterior
Roman Consul	1360	307BC	Prior
Roman Consul	1363	306BC	Posterior
Roman Consul	1362	306BC	Prior
Roman Consul	1365	305BC	Posterior
Roman Consul	1364	305BC	Prior
Roman Consul	1366	305BC	suff. (II)
Roman Consul	1368	304BC	Posterior
Roman Consul	1367	304BC	Prior
Roman Consul	1296	303BC	Posterior
Roman Consul	1369	303BC	Prior
Roman Consul	1372	302BC	Posterior
Roman Consul	1371	302BC	Prior
Dictator	1357	301BC	Dictator
Dictator	1357	301BC	Dictator
Roman Consul	1373	300BC	Posterior
Roman Consul	1316	300BC	Prior
Roman Consul	1375	299BC	Posterior
Roman Consul	1374	299BC	Prior
Roman Consul	1316	299BC	suff. (II)
Roman Consul	1377	298BC	Posterior
Roman Consul	1376	298BC	Prior
Roman Consul	1323	297BC	Posterior
Roman Consul	1348	297BC	Prior
Roman Consul	1360	296BC	Posterior
Roman Consul	1361	296BC	Prior
Roman Consul	1323	295BC	Posterior
Roman Consul	1348	295BC	Prior
Roman Consul	1378	294BC	Posterior
Roman Consul	1364	294BC	Prior
Roman Consul	1380	293BC	Posterior
Roman Consul	1251	293BC	Prior
Roman Consul	1345	292BC	Posterior
Roman Consul	1381	292BC	Prior
Roman Consul	1352	291BC	Posterior
Roman Consul	1364	291BC	Prior
Roman Consul	1385	290BC	Posterior
Roman Consul	1384	290BC	Prior
Roman Consul	1387	289BC	Posterior
Roman Consul	1386	289BC	Prior
Roman Consul	1363	288BC	Posterior
Roman Consul	1362	288BC	Prior
Roman Consul	1071	287BC	Posterior
Roman Consul	1338	287BC	Prior
Roman Consul	1391	286BC	Posterior
Roman Consul	1390	286BC	Prior
Roman Consul	1393	285BC	Posterior
Roman Consul	1392	285BC	Prior
Roman Consul	1395	284BC	Posterior
Roman Consul	1394	284BC	Prior
Roman Consul	1397	283BC	Posterior
Roman Consul	1396	283BC	Prior
Roman Consul	1399	282BC	Posterior
Roman Consul	1398	282BC	Prior
Roman Consul	1401	281BC	Posterior
Roman Consul	1400	281BC	Prior
Roman Consul	1403	280BC	Posterior
Roman Consul	1402	280BC	Prior
Roman Consul	1323	279BC	Posterior
Roman Consul	1404	279BC	Prior
Roman Consul	1399	278BC	Posterior
Roman Consul	1398	278BC	Prior
Roman Consul	1352	277BC	Posterior
Roman Consul	1384	277BC	Prior
Roman Consul	1406	276BC	Posterior
Roman Consul	1381	276BC	Prior
Roman Consul	1407	275BC	Posterior
Roman Consul	1385	275BC	Prior
Roman Consul	1408	274BC	Posterior
Roman Consul	1385	274BC	Prior
Roman Consul	1392	273BC	Posterior
Roman Consul	1409	273BC	Prior
Roman Consul	1380	272BC	Posterior
Roman Consul	1251	272BC	Prior
Roman Consul	1411	271BC	Posterior
Roman Consul	1410	271BC	Prior
Roman Consul	1412	270BC	Posterior
Roman Consul	1406	270BC	Prior
Roman Consul	1414	269BC	Posterior
Roman Consul	1413	269BC	Prior
Roman Consul	1416	268BC	Posterior
Roman Consul	1367	268BC	Prior
Roman Consul	1418	267BC	Posterior
Roman Consul	1378	267BC	Prior
Roman Consul	1420	266BC	Posterior
Roman Consul	1419	266BC	Prior
Roman Consul	1422	265BC	Posterior
Roman Consul	1381	265BC	Prior
Roman Consul	1424	264BC	Posterior
Roman Consul	1423	264BC	Prior
Roman Consul	1426	263BC	Posterior
Roman Consul	1425	263BC	Prior
Roman Consul	1428	262BC	Posterior
Roman Consul	1364	262BC	Prior
Roman Consul	1430	261BC	Posterior
Roman Consul	1429	261BC	Prior
Roman Consul	1432	260BC	Posterior
Roman Consul	1431	260BC	Prior
Roman Consul	1434	259BC	Posterior
Roman Consul	1313	259BC	Prior
Roman Consul	1436	258BC	Posterior
Roman Consul	1435	258BC	Prior
Roman Consul	1412	257BC	Posterior
Roman Consul	1437	257BC	Prior
Roman Consul	1439	256BC	Posterior
Roman Consul	1438	256BC	Prior
Roman Consul	1378	256BC	suff. (II)
Roman Consul	1372	255BC	Posterior
Roman Consul	1440	255BC	Prior
Roman Consul	1435	254BC	Posterior
Roman Consul	1431	254BC	Prior
Roman Consul	1443	253BC	Posterior
Roman Consul	1442	253BC	Prior
Roman Consul	1445	252BC	Posterior
Roman Consul	1444	252BC	Prior
Roman Consul	1188	251BC	Posterior
Roman Consul	1446	251BC	Prior
Roman Consul	1438	250BC	Posterior
Roman Consul	1437	250BC	Prior
Roman Consul	1449	249BC	Posterior
Roman Consul	1448	249BC	Prior
Roman Consul	1445	248BC	Posterior
Roman Consul	1444	248BC	Prior
Roman Consul	1450	247BC	Posterior
Roman Consul	1446	247BC	Prior
Roman Consul	1451	246BC	Posterior
Roman Consul	1426	246BC	Prior
Roman Consul	1453	245BC	Posterior
Roman Consul	1452	245BC	Prior
Roman Consul	1443	244BC	Posterior
Roman Consul	1454	244BC	Prior
Roman Consul	1456	243BC	Posterior
Roman Consul	1455	243BC	Prior
Roman Consul	1458	242BC	Posterior
Roman Consul	1457	242BC	Prior
Roman Consul	1459	241BC	Posterior
Roman Consul	1454	241BC	Prior
Roman Consul	1461	240BC	Posterior
Roman Consul	1460	240BC	Prior
Roman Consul	1463	239BC	Posterior
Roman Consul	1462	239BC	Prior
Roman Consul	1465	238BC	Posterior
Roman Consul	1464	238BC	Prior
Roman Consul	1467	237BC	Posterior
Roman Consul	1407	237BC	Prior
Roman Consul	1469	236BC	Posterior
Roman Consul	1468	236BC	Prior
Roman Consul	1453	235BC	Posterior
Roman Consul	1375	235BC	Prior
Roman Consul	1472	234BC	Posterior
Roman Consul	1471	234BC	Prior
Roman Consul	1474	233BC	Posterior
Roman Consul	1473	233BC	Prior
Roman Consul	1476	232BC	Posterior
Roman Consul	1393	232BC	Prior
Roman Consul	1478	231BC	Posterior
Roman Consul	1474	231BC	Prior
Roman Consul	1480	230BC	Posterior
Roman Consul	1479	230BC	Prior
Roman Consul	1481	229BC	Posterior
Roman Consul	1471	229BC	Prior
Roman Consul	1473	228BC	Posterior
Roman Consul	1472	228BC	Prior
Roman Consul	1378	227BC	Posterior
Roman Consul	1482	227BC	Prior
Roman Consul	1485	226BC	Posterior
Roman Consul	1484	226BC	Prior
Roman Consul	1437	225BC	Posterior
Roman Consul	1486	225BC	Prior
Roman Consul	1467	224BC	Posterior
Roman Consul	1375	224BC	Prior
Roman Consul	1489	223BC	Posterior
Roman Consul	1488	223BC	Prior
Roman Consul	1491	222BC	Posterior
Roman Consul	1338	222BC	Prior
Roman Consul	1493	221BC	Posterior
Roman Consul	1492	221BC	Prior
Roman Consul	1496	220BC	Posterior
Roman Consul	1497	220BC	Posterior
Roman Consul	1494	220BC	Prior
Roman Consul	1457	220BC	Prior
Roman Consul	1499	219BC	Posterior
Roman Consul	1498	219BC	Prior
Roman Consul	1501	218BC	Posterior
Roman Consul	1229	218BC	Prior
Roman Consul	1488	217BC	Posterior
Roman Consul	1502	217BC	Prior
Roman Consul	1378	217BC	suff. (II)
Roman Consul	1498	216BC	Posterior
Roman Consul	1503	216BC	Prior
Roman Consul	1464	215BC	Posterior
Roman Consul	1471	215BC	Prior
Roman Consul	1338	215BC	suff (I)
Roman Consul	1473	215BC	suff (I)
Roman Consul	1338	214BC	Posterior
Roman Consul	1473	214BC	Prior
Roman Consul	1464	213BC	Posterior
Roman Consul	1505	213BC	Prior
Roman Consul	1506	212BC	Posterior
Roman Consul	1467	212BC	Prior
Roman Consul	1508	211BC	Posterior
Roman Consul	1507	211BC	Prior
Roman Consul	1509	210BC	Posterior
Roman Consul	1338	210BC	Prior
Roman Consul	1467	209BC	Posterior
Roman Consul	1473	209BC	Prior
Roman Consul	1510	208BC	Posterior
Roman Consul	1338	208BC	Prior
Roman Consul	1499	207BC	Posterior
Roman Consul	1511	207BC	Prior
Roman Consul	1513	206BC	Posterior
Roman Consul	1497	206BC	Prior
Roman Consul	1515	205BC	Posterior
Roman Consul	1514	205BC	Prior
Roman Consul	1517	204BC	Posterior
Roman Consul	1516	204BC	Prior
Roman Consul	1519	203BC	Posterior
Roman Consul	1442	203BC	Prior
Roman Consul	1521	202BC	Posterior
Roman Consul	1520	202BC	Prior
Roman Consul	1329	201BC	Posterior
Roman Consul	1522	201BC	Prior
Roman Consul	1444	200BC	Posterior
Roman Consul	1508	200BC	Prior
Roman Consul	1526	199BC	Posterior
Roman Consul	1343	199BC	Prior
Roman Consul	1528	198BC	Posterior
Roman Consul	1527	198BC	Prior
Roman Consul	1530	197BC	Posterior
Roman Consul	1529	197BC	Prior
Roman Consul	1338	196BC	Posterior
Roman Consul	1531	196BC	Prior
Roman Consul	1534	195BC	Posterior
Roman Consul	1429	195BC	Prior
Roman Consul	1501	194BC	Posterior
Roman Consul	1514	194BC	Prior
Roman Consul	1537	193BC	Posterior
Roman Consul	1536	193BC	Prior
Roman Consul	1539	192BC	Posterior
Roman Consul	1538	192BC	Prior
Roman Consul	1541	191BC	Posterior
Roman Consul	1540	191BC	Prior
Roman Consul	1543	190BC	Posterior
Roman Consul	1542	190BC	Prior
Roman Consul	1273	189BC	Posterior
Roman Consul	1544	189BC	Prior
Roman Consul	1547	188BC	Posterior
Roman Consul	1484	188BC	Prior
Roman Consul	1488	187BC	Posterior
Roman Consul	1393	187BC	Prior
Roman Consul	1401	186BC	Posterior
Roman Consul	1550	186BC	Prior
Roman Consul	1461	185BC	Posterior
Roman Consul	1506	185BC	Prior
Roman Consul	1555	184BC	Posterior
Roman Consul	1448	184BC	Prior
Roman Consul	1557	183BC	Posterior
Roman Consul	1338	183BC	Prior
Roman Consul	1559	182BC	Posterior
Roman Consul	1558	182BC	Prior
Roman Consul	1561	181BC	Posterior
Roman Consul	1560	181BC	Prior
Roman Consul	1563	180BC	Posterior
Roman Consul	1562	180BC	Prior
Roman Consul	1467	180BC	suff. (II)
Roman Consul	1566	179BC	Posterior
Roman Consul	1467	179BC	Prior
Roman Consul	1073	178BC	Posterior
Roman Consul	1567	178BC	Prior
Roman Consul	1464	177BC	Posterior
Roman Consul	1569	177BC	Prior
Roman Consul	1573	176BC	Posterior
Roman Consul	1571	176BC	Prior
Roman Consul	1572	176BC	suff. (I)
Roman Consul	1393	175BC	Posterior
Roman Consul	1574	175BC	Prior
Roman Consul	1576	174BC	Posterior
Roman Consul	1575	174BC	Prior
Roman Consul	1304	173BC	Posterior
Roman Consul	1471	173BC	Prior
Roman Consul	1580	172BC	Posterior
Roman Consul	1579	172BC	Prior
Roman Consul	1582	171BC	Posterior
Roman Consul	1581	171BC	Prior
Roman Consul	1584	170BC	Posterior
Roman Consul	1583	170BC	Prior
Roman Consul	1442	169BC	Posterior
Roman Consul	1401	169BC	Prior
Roman Consul	1586	168BC	Posterior
Roman Consul	1559	168BC	Prior
Roman Consul	1588	167BC	Posterior
Roman Consul	1587	167BC	Prior
Roman Consul	1456	166BC	Posterior
Roman Consul	1338	166BC	Prior
Roman Consul	1592	165BC	Posterior
Roman Consul	1375	165BC	Prior
Roman Consul	1594	164BC	Posterior
Roman Consul	1593	164BC	Prior
Roman Consul	1595	163BC	Posterior
Roman Consul	1464	163BC	Prior
Roman Consul	1598	162BC	Posterior
Roman Consul	1596	162BC	Prior
Roman Consul	1597	162BC	suff. (I)
Roman Consul	1539	162BC	suff. (II)
Roman Consul	1601	161BC	Posterior
Roman Consul	1484	161BC	Prior
Roman Consul	1516	160BC	Posterior
Roman Consul	1602	160BC	Prior
Roman Consul	1544	159BC	Posterior
Roman Consul	1604	159BC	Prior
Roman Consul	1579	158BC	Posterior
Roman Consul	1393	158BC	Prior
Roman Consul	1608	157BC	Posterior
Roman Consul	1607	157BC	Prior
Roman Consul	1598	156BC	Posterior
Roman Consul	1609	156BC	Prior
Roman Consul	1338	155BC	Posterior
Roman Consul	1596	155BC	Prior
Roman Consul	1471	154BC	Posterior
Roman Consul	1610	154BC	Prior
Roman Consul	1541	154BC	suff. (II)
Roman Consul	1614	153BC	Posterior
Roman Consul	1613	153BC	Prior
Roman Consul	1429	152BC	Posterior
Roman Consul	1338	152BC	Prior
Roman Consul	1458	151BC	Posterior
Roman Consul	1616	151BC	Prior
Roman Consul	1619	150BC	Posterior
Roman Consul	1527	150BC	Prior
Roman Consul	1621	149BC	Posterior
