rulerID	row	name	reign	sheet_birthdeath	born	died	source	status
1996	1977	L. Voluseius Proculus	17–17					NO-QID
1997	1978	L. Seius Tubero	18–18		-25		wikidata	OK born only
1998	1979	C. Rubellius Blandus	18–18			38	wikidata	OK died only
2000	1980	Livineius Regulus	18–18					NO-DATE on wikidata
2001	1981	M. Vipstanus Gallus	18–18					NO-DATE on wikidata
2002	1982	M. Junius Silanus Torquatus	19–19			36	wikidata	OK died only
2003	1983	L. Norbanus Balbus	19–19			41	wikidata	OK died only
2004	1984	P. Petronius	19–19					NO-DATE on wikidata
2005	1985	M. Valerius Messalla Barbatus	20–20					NO-QID
2006	1986	M. Aurelius Cotta Maximus Messalinus	20–20					NO-DATE on wikidata
2007	1987	Mam. Aemilius Scaurus	21–21			34	wikidata	OK died only
2008	1988	Cn. Tremellius	21–21					NO-DATE on wikidata
2009	1989	D. Haterius Agrippa	22–22		-20	32	wikidata	OK
2010	1990	C. Sulpicius Galba						NO-QID
2011	1991	C. Asinius Pollio						NO-QID
2012	1992	C. Antistius Vetus						NO-QID
2013	1993	C. Stertinius Maximus	23–23					NO-DATE on wikidata
2014	1994	Ser. Cornelius Cethegus	24–24					NO-DATE on wikidata
2015	1995	C. Calpurnius Aviola	24–24					NO-DATE on wikidata
2016	1996	L. Visellius Varro	24–24					NO-DATE on wikidata
2017	1997	P. Cornelius Lentulus Scipio			-15	52	wikidata	OK
2018	1998	Cossus Cornelius Lentulus	25–60					NO-QID
2019	1999	C. Petronius	25–25					NO-QID
2020	2000	M. Asinius Agrippa	25–25		-9	26	wikidata	OK
2021	2001	Cn. Cornelius Lentulus Gaetulicus	26–55					NO-QID
2022	2002	Q. Junius Blaesus						NO-QID
2023	2003	C. Calvisius Sabinus						NO-QID
2024	2004	L. Antistius Vetus	26–55					NO-QID
2025	2005	L. Calpurnius Piso						NO-QID
2026	2006	P. Cornelius Lentulus						NO-DATE on wikidata
2027	2007	M. Licinius Crassus Frugi						NO-QID
2028	2008	C. Sallustius Passienus Crispus	27–44			47	wikidata	OK died only
2029	2009	Ap. Junius Silanus	28–28			42	wikidata	OK died only
2030	2010	L. Junius Silanus	28–28					NO-QID
2031	2011	P. Silius Nerva						NO-DATE on wikidata
2032	2012	C. Vellaeus Tutor	28–28					NO-QID
2033	2013	C. Fufius Geminus						NO-DATE on wikidata
2034	2014	A. Plautius			-5	57	wikidata	OK
2035	2015	L. Rubellius Geminus	29–29					NO-QID
2036	2016	L. Nonius Asprenas						NO-QID
2037	2017	L. Cassius Longinus						NO-DATE on wikidata
