Year,,_1,Year_link,_link,_1_link,Source_Table,Western consul,Eastern consul,Western consul_link,Eastern consul_link
483,M. Fabius Vibulanus,L. Valerius Potitus,,https://en.wikipedia.org/wiki/Marcus_Fabius_Vibulanus_(consul_483_BC),https://en.wikipedia.org/wiki/Lucius_Valerius_Potitus_(consul_483_BC),Table_2,,,,
482,C. Julius Iullus,Q. Fabius Vibulanus II[34][35],,https://en.wikipedia.org/wiki/Gaius_Julius_Iullus_(decemvir),https://en.wikipedia.org/wiki/Quintus_Fabius_Vibulanus_(consul_485_BC),Table_2,,,,
481,K. Fabius Vibulanus II,Sp. Furius Fusus,,https://en.wikipedia.org/wiki/Caeso_Fabius_Vibulanus,https://en.wikipedia.org/wiki/Spurius_Furius_Fusus,Table_2,,,,
480,M. Fabius Vibulanus II,Cn. Manlius Cincinnatus,,https://en.wikipedia.org/wiki/Marcus_Fabius_Vibulanus_(consul_483_BC),https://en.wikipedia.org/wiki/Gnaeus_Manlius_Cincinnatus,Table_2,,,,
479,K. Fabius Vibulanus III,T. Verginius Tricostus Rutilus,,https://en.wikipedia.org/wiki/Caeso_Fabius_Vibulanus,https://en.wikipedia.org/wiki/Titus_Verginius_Tricostus_Rutilus,Table_2,,,,
478,L. Aemilius Mamercus II[36],C. Servilius Structus Ahala[37],,https://en.wikipedia.org/wiki/Lucius_Aemilius_Mamercus,https://en.wikipedia.org/wiki/Gaius_Servilius_Structus_Ahala,Table_2,,,,
suff.,,(Opiter Verginius? E)squilinus[38],,,https://en.wikipedia.org/wiki/Opiter_Verginius_Tricostus_Esquilinus_(consul_478_BC),Table_2,,,,
477,C. (or M.) Horatius Pulvillus,T. Menenius Lanatus,,https://en.wikipedia.org/wiki/Gaius_Horatius_Pulvillus,https://en.wikipedia.org/wiki/Titus_Menenius_Lanatus_(consul_477_BC),Table_2,,,,
476,A. Verginius Tricostus Rutilus,Sp. (or C.) Servilius Structus,,https://en.wikipedia.org/wiki/Aulus_Verginius_Tricostus_Rutilus,https://en.wikipedia.org/wiki/Spurius_Servilius_Structus,Table_2,,,,
475,P. Valerius Poplicola,C. Nautius Rutilus,,https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola_(consul_475_BC),https://en.wikipedia.org/wiki/Gaius_Nautius_Rutilus,Table_2,,,,
474,L. Furius Medullinus,A. Manlius Vulso,,https://en.wikipedia.org/wiki/Lucius_Furius_Medullinus_(consul_474_BC),https://en.wikipedia.org/wiki/Aulus_Manlius_Vulso_(decemvir),Table_2,,,,
473,L. Aemilius Mamercus III,Vopiscus Julius Iullus[39],,https://en.wikipedia.org/wiki/Lucius_Aemilius_Mamercus,https://en.wikipedia.org/wiki/Vopiscus_Julius_Iullus,Table_2,,,,
472,L. Pinarius Mamercinus Rufus,P. Furius Medullinus Fusus,,https://en.wikipedia.org/wiki/Lucius_Pinarius_Mamercinus_Rufus_(consul_472_BC),https://en.wikipedia.org/wiki/Publius_Furius_Medullinus_Fusus,Table_2,,,,
471,Ap. Claudius Crassus Inregillensis Sabinus,T. Quinctius Capitolinus Barbatus,,https://en.wikipedia.org/wiki/Appius_Claudius_Crassus_Inregillensis_Sabinus,https://en.wikipedia.org/wiki/Titus_Quinctius_Capitolinus_Barbatus,Table_2,,,,
470,L. Valerius Potitus II,Ti. Aemilius Mamercus,,https://en.wikipedia.org/wiki/Lucius_Valerius_Potitus_(consul_483_BC),https://en.wikipedia.org/wiki/Tiberius_Aemilius_Mamercus,Table_2,,,,
469,T. Numicius Priscus,A. Verginius Caeliomontanus,,https://en.wikipedia.org/wiki/Titus_Numicius_Priscus,https://en.wikipedia.org/wiki/Aulus_Verginius_Tricostus_Caeliomontanus_(consul_469_BC),Table_2,,,,
468,T. Quinctius Capitolinus Barbatus II,Q. Servilius Priscus,,https://en.wikipedia.org/wiki/Titus_Quinctius_Capitolinus_Barbatus,https://en.wikipedia.org/wiki/Quintus_Servilius_Priscus_(consul_468_BC),Table_2,,,,
467,Ti. Aemilius Mamercus II,Q. Fabius Vibulanus,,https://en.wikipedia.org/wiki/Tiberius_Aemilius_Mamercus,https://en.wikipedia.org/wiki/Quintus_Fabius_Vibulanus_(consul_467_BC),Table_2,,,,
466,Q. Servilius Priscus II,Sp. Postumius Albinus Regillensis,,https://en.wikipedia.org/wiki/Quintus_Servilius_Priscus_(consul_468_BC),https://en.wikipedia.org/wiki/Spurius_Postumius_Albus_Regillensis_(consul_466_BC),Table_2,,,,
465,Q. Fabius Vibulanus II,T. Quinctius Capitolinus Barbatus III,,https://en.wikipedia.org/wiki/Quintus_Fabius_Vibulanus_(consul_467_BC),https://en.wikipedia.org/wiki/Titus_Quinctius_Capitolinus_Barbatus,Table_2,,,,
464,A. Postumius Albinus Regillensis,Sp. Furius Medullinus Fusus,,https://en.wikipedia.org/wiki/Aulus_Postumius_Albus_Regillensis_(consul_464_BC),https://en.wikipedia.org/wiki/Spurius_Furius_Medullinus_Fusus_(consul_464_BC),Table_2,,,,
463,P. Servilius Priscus,L. Aebutius Helva,,https://en.wikipedia.org/wiki/Publius_Servilius_Priscus_(consul_463_BC),https://en.wikipedia.org/wiki/Lucius_Aebutius_Helva,Table_2,,,,
462,L. Lucretius Tricipitinus,T. Veturius Geminus Cicurinus,,https://en.wikipedia.org/wiki/Lucius_Lucretius_Tricipitinus,https://en.wikipedia.org/wiki/Titus_Veturius_Geminus_Cicurinus_(consul_462_BC),Table_2,,,,
461,P. Volumnius Amintinus Gallus,Ser. Sulpicius Camerinus Cornutus,,https://en.wikipedia.org/wiki/Publius_Volumnius_Amintinus_Gallus,https://en.wikipedia.org/wiki/Servius_Sulpicius_Camerinus_Cornutus_(consul_461_BC),Table_2,,,,
460,P. Valerius Poplicola II,C. Claudius Inregillensis Sabinus,,https://en.wikipedia.org/wiki/Publius_Valerius_Poplicola_(consul_475_BC),https://en.wikipedia.org/wiki/Gaius_Claudius_Sabinus_Regillensis,Table_2,,,,
suff.,L. Quinctius Cincinnatus,,,https://en.wikipedia.org/wiki/Lucius_Quinctius_Cincinnatus,,Table_2,,,,
459,Q. Fabius Vibulanus III,L. Cornelius Maluginensis Uritinus,,https://en.wikipedia.org/wiki/Quintus_Fabius_Vibulanus_(consul_467_BC),https://en.wikipedia.org/wiki/Lucius_Cornelius_Maluginensis_Uritinus,Table_2,,,,
458,C. Nautius Rutilus II,(...) Carve(ntanus?)[40],,https://en.wikipedia.org/wiki/Gaius_Nautius_Rutilus,https://en.wikipedia.org#cite_note-40,Table_2,,,,
suff.,,L. Minucius Esquilinus Augurinus,,,https://en.wikipedia.org/wiki/Lucius_Minucius_Esquilinus_Augurinus,Table_2,,,,
457,C. (or M.) Horatius Pulvillus II,Q. Minucius Esquilinus (or L. Postumius),,https://en.wikipedia.org/wiki/Gaius_Horatius_Pulvillus,https://en.wikipedia.org/wiki/Quintus_Minucius_Esquilinus,Table_2,,,,
456,M. Valerius Maximus Lactuca[41],Sp. Verginius Tricostus Caeliomontanus,,https://en.wikipedia.org/wiki/Marcus_Valerius_Maximus_Lactuca,https://en.wikipedia.org/wiki/Spurius_Verginius_Tricostus_Caeliomontanus,Table_2,,,,
455,T. Romilius Rocus Vaticanus,C. Veturius Cicurinus,,https://en.wikipedia.org/wiki/Titus_Romilius_Rocus_Vaticanus,https://en.wikipedia.org/wiki/Gaius_Veturius_Cicurinus,Table_2,,,,
454,Sp. Tarpeius Montanus Capitolinus,A. Aternius Varus Fontinalis,,https://en.wikipedia.org/wiki/Spurius_Tarpeius_Montanus_Capitolinus,https://en.wikipedia.org/wiki/Aulus_Aternius_Varus_Fontinalis,Table_2,,,,
453,P. Curiatius Fistus Trigeminus,Sextus Quinctilius[42],,https://en.wikipedia.org/wiki/Publius_Curiatius_Fistus_Trigeminus,https://en.wikipedia.org/wiki/Sextus_Quinctilius,Table_2,,,,
suff.,,Sp. Furius (Medullinus Fusus) II?)[43],,,https://en.wikipedia.org/wiki/Spurius_Furius_Medullinus_Fusus_(consul_464_BC),Table_2,,,,
452,T. Menenius Lanatus,P. Sestius Capitolinus Vaticanus,,https://en.wikipedia.org/wiki/Titus_Menenius_Lanatus_(consul_452_BC),https://en.wikipedia.org/wiki/Publius_Sestius_Capitolinus_Vaticanus,Table_2,,,,
451,Ap. Claudius Crassus Inregillensis Sabinus II[44],T. Genucius (or Minucius) Augurinus,,https://en.wikipedia.org/wiki/Appius_Claudius_Crassus_Inregillensis_Sabinus,https://en.wikipedia.org/wiki/Titus_Genucius_Augurinus,Table_2,,,,
,First Decemvirate,,,https://en.wikipedia.org/wiki/Decemviri#First_decemvirate,,Table_2,,,,
