Year,,_1,Year_link,_link,_1_link,Source_Table,Western consul,Eastern consul,Western consul_link,Eastern consul_link
285,C. Claudius Canina,M. Aemilius Lepidus,,https://en.wikipedia.org/wiki/Gaius_Claudius_Canina,,Table_4,,,,
284,C. Servilius Tucca,L. Caecilius Metellus Denter,,,https://en.wikipedia.org/wiki/Lucius_Caecilius_Metellus_Denter,Table_4,,,,
283,P. Cornelius Dolabella,Cn. Domitius Calvinus Maximus,,https://en.wikipedia.org/wiki/Publius_Cornelius_Dolabella_(consul_283_BC),https://en.wikipedia.org/wiki/Gnaeus_Domitius_Calvinus_Maximus,Table_4,,,,
282,C. Fabricius Luscinus,Q. Aemilius Papus,,https://en.wikipedia.org/wiki/Gaius_Fabricius_Luscinus,https://en.wikipedia.org/wiki/Quintus_Aemilius_Papus,Table_4,,,,
281,L. Aemilius Barbula,Q. Marcius Philippus,,https://en.wikipedia.org/wiki/Lucius_Aemilius_Barbula,https://en.wikipedia.org/wiki/Quintus_Marcius_Philippus_(consul_281_BC),Table_4,,,,
280,P. Valerius Laevinus,Ti. Coruncanius,,https://en.wikipedia.org/wiki/Publius_Valerius_Laevinus,https://en.wikipedia.org/wiki/Tiberius_Coruncanius,Table_4,,,,
279,P. Sulpicius Saverrio,P. Decius Mus,,,https://en.wikipedia.org/wiki/Publius_Decius_Mus_(consul_279_BC),Table_4,,,,
278,C. Fabricius Luscinus II,Q. Aemilius Papus II,,https://en.wikipedia.org/wiki/Gaius_Fabricius_Luscinus,https://en.wikipedia.org/wiki/Quintus_Aemilius_Papus,Table_4,,,,
277,P. Cornelius Rufinus II,C. Junius Bubulcus Brutus II,,https://en.wikipedia.org/wiki/Publius_Cornelius_Rufinus_(consul),,Table_4,,,,
276,Q. Fabius Maximus Gurges II,C. Genucius Clepsina,,https://en.wikipedia.org/wiki/Quintus_Fabius_Maximus_Gurges_(consul_292_BC),https://en.wikipedia.org/wiki/Gaius_Genucius_Clepsina,Table_4,,,,
275,M'. Curius Dentatus II,L. Cornelius Lentulus Caudinus,,https://en.wikipedia.org/wiki/Manius_Curius_Dentatus,https://en.wikipedia.org/wiki/Lucius_Cornelius_Lentulus_Caudinus,Table_4,,,,
274,M'. Curius Dentatus III,Ser. Cornelius Merenda,,https://en.wikipedia.org/wiki/Manius_Curius_Dentatus,,Table_4,,,,
273,C. Fabius Licinus,C. Claudius Canina II,,https://en.wikipedia.org/wiki/Gaius_Fabius_Dorsuo_Licinus,https://en.wikipedia.org/wiki/Gaius_Claudius_Canina,Table_4,,,,
272,L. Papirius Cursor II,Sp. Carvilius Maximus II,,https://en.wikipedia.org/wiki/Lucius_Papirius_Cursor_(consul_293_BC),https://en.wikipedia.org/wiki/Spurius_Carvilius_Maximus,Table_4,,,,
271,C. Quinctius Claudus,L. Genucius Clepsina,,https://en.wikipedia.org/wiki/Gaius_Quinctius_Claudus,https://en.wikipedia.org/wiki/Lucius_Genucius_Clepsina,Table_4,,,,
270,C. Genucius Clepsina II,Cn. Cornelius Blasio,,https://en.wikipedia.org/wiki/Gaius_Genucius_Clepsina,https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Blasio,Table_4,,,,
269,Q. Ogulnius Gallus,C. Fabius Pictor,,https://en.wikipedia.org/wiki/Quintus_Ogulnius_Gallus,https://en.wikipedia.org/wiki/Gaius_Fabius_Pictor_(consul),Table_4,,,,
268,P. Sempronius Sophus,Ap. Claudius Russus,,https://en.wikipedia.org/wiki/Publius_Sempronius_Sophus_(consul_268_BC),https://en.wikipedia.org/wiki/Appius_Claudius_Russus,Table_4,,,,
267,M. Atilius Regulus,L. Julius Libo,,https://en.wikipedia.org/wiki/Marcus_Atilius_Regulus_(consul_267_BC),https://en.wikipedia.org/wiki/Lucius_Julius_Libo,Table_4,,,,
266,D. Junius Pera,N. Fabius Pictor,,https://en.wikipedia.org/wiki/Decimus_Junius_Pera,https://en.wikipedia.org/wiki/Numerius_Fabius_Pictor_(consul),Table_4,,,,
265,Q. Fabius Maximus Gurges,L. Mamilius Vitulus,,https://en.wikipedia.org/wiki/Quintus_Fabius_Maximus_Gurges_(consul_265_BC),,Table_4,,,,
264,Ap. Claudius Caudex,M. Fulvius Flaccus,,https://en.wikipedia.org/wiki/Appius_Claudius_Caudex,https://en.wikipedia.org/wiki/Marcus_Fulvius_Flaccus_(consul_264_BC),Table_4,,,,
263,M'. Valerius Maximus Mesalla,M'. Otacilius Crassus,,https://en.wikipedia.org/wiki/Manius_Valerius_Maximus_Messalla,https://en.wikipedia.org/wiki/Manius_Otacilius_Crassus,Table_4,,,,
262,L. Postumius Megellus,Q. Mamilius Vitulus,,https://en.wikipedia.org/wiki/Lucius_Postumius_Megellus_(consul_262_BC),https://en.wikipedia.org/wiki/Quintus_Mamilius_Vitulus,Table_4,,,,
261,L. Valerius Flaccus,T. Otacilius Crassus,,https://en.wikipedia.org/wiki/Lucius_Valerius_Flaccus_(consul_261_BC),https://en.wikipedia.org/wiki/Titus_Otacilius_Crassus,Table_4,,,,
260,Cn. Cornelius Scipio Asina,C. Duilius,,https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Scipio_Asina,https://en.wikipedia.org/wiki/Gaius_Duilius,Table_4,,,,
259,L. Cornelius Scipio,C. Aquillius Florus,,https://en.wikipedia.org/wiki/Lucius_Cornelius_Scipio_(consul_259_BC),https://en.wikipedia.org/wiki/Gaius_Aquillius_Florus,Table_4,,,,
258,A. Atilius Caiatinus,C. Sulpicius Paterculus,,https://en.wikipedia.org/wiki/Aulus_Atilius_Caiatinus,https://en.wikipedia.org/wiki/Gaius_Sulpicius_Paterculus,Table_4,,,,
257,C. Atilius Regulus,Cn. Cornelius Blasio II,,https://en.wikipedia.org/wiki/Gaius_Atilius_Regulus_(consul_257_BC),https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Blasio,Table_4,,,,
256,L. Manlius Vulso Longus,Q. Caedicius,,https://en.wikipedia.org/wiki/Lucius_Manlius_Vulso_Longus,,Table_4,,,,
suff.,,M. Atilius Regulus II,,,https://en.wikipedia.org/wiki/Marcus_Atilius_Regulus_(consul_267_BC),Table_4,,,,
255,Ser. Fulvius Paetinus Nobilior,M. Aemilius Paullus,,https://en.wikipedia.org/wiki/Servius_Fulvius_Paetinus_Nobilior,https://en.wikipedia.org/wiki/Marcus_Aemilius_Paullus,Table_4,,,,
254,Cn. Cornelius Scipio Asina II,A. Atilius Caiatinus II,,https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Scipio_Asina,https://en.wikipedia.org/wiki/Aulus_Atilius_Caiatinus,Table_4,,,,
253,Cn. Servilius Caepio,C. Sempronius Blaesus,,https://en.wikipedia.org/wiki/Gnaeus_Servilius_Caepio_(consul_253_BC),https://en.wikipedia.org/wiki/Gaius_Sempronius_Blaesus_(consul),Table_4,,,,
252,C. Aurelius Cotta,P. Servilius Geminus,,https://en.wikipedia.org/wiki/Gaius_Aurelius_Cotta_(consul_252_BC),https://en.wikipedia.org/wiki/Publius_Servilius_Geminus,Table_4,,,,
251,L. Caecilius Metellus,C. Furius Pacilus,,https://en.wikipedia.org/wiki/Lucius_Caecilius_Metellus_(consul_251_BC),https://en.wikipedia.org/wiki/Gaius_Furius_Pacilus_(consul_251_BC),Table_4,,,,
250,C. Atilius Regulus II,L. Manlius Vulso Longus II,,https://en.wikipedia.org/wiki/Gaius_Atilius_Regulus_(consul_257_BC),https://en.wikipedia.org/wiki/Lucius_Manlius_Vulso_Longus,Table_4,,,,
249,P. Claudius Pulcher,L. Junius Pullus,,https://en.wikipedia.org/wiki/Publius_Claudius_Pulcher_(consul_249_BC),https://en.wikipedia.org/wiki/Lucius_Junius_Pullus,Table_4,,,,
248,C. Aurelius Cotta II,P. Servilius Geminus II,,https://en.wikipedia.org/wiki/Gaius_Aurelius_Cotta_(consul_252_BC),https://en.wikipedia.org/wiki/Publius_Servilius_Geminus,Table_4,,,,
247,L. Caecilius Metellus II,N. Fabius Buteo,,https://en.wikipedia.org/wiki/Lucius_Caecilius_Metellus_(consul_251_BC),https://en.wikipedia.org/wiki/Numerius_Fabius_Buteo,Table_4,,,,
246,M'. Otacilius Crassus II,M. Fabius Licinus,,https://en.wikipedia.org/wiki/Manius_Otacilius_Crassus,,Table_4,,,,
245,M. Fabius Buteo,C. Atilius Bulbus,,https://en.wikipedia.org/wiki/Marcus_Fabius_Buteo,https://en.wikipedia.org/wiki/Gaius_Atilius_Bulbus,Table_4,,,,
244,A. Manlius Torquatus Atticus,C. Sempronius Blaesus II,,https://en.wikipedia.org/wiki/Aulus_Manlius_Torquatus_Atticus,https://en.wikipedia.org/wiki/Gaius_Sempronius_Blaesus_(consul),Table_4,,,,
243,C. Fundanius Fundulus,C. Sulpicius Galus,,https://en.wikipedia.org/wiki/Gaius_Fundanius_Fundulus,,Table_4,,,,
242,C. Lutatius Catulus,A. Postumius Albinus,,https://en.wikipedia.org/wiki/Gaius_Lutatius_Catulus_(consul_242_BC),https://en.wikipedia.org/wiki/Aulus_Postumius_Albinus_(consul_242_BC),Table_4,,,,
241,A. Manlius Torquatus Atticus II,Q. Lutatius Cerco,,https://en.wikipedia.org/wiki/Aulus_Manlius_Torquatus_Atticus,https://en.wikipedia.org/wiki/Quintus_Lutatius_Cerco,Table_4,,,,
240,C. Claudius Centho,M. Sempronius Tuditanus,,https://en.wikipedia.org/wiki/Gaius_Claudius_Centho,https://en.wikipedia.org/wiki/Marcus_Sempronius_Tuditanus_(consul_240_BC),Table_4,,,,
239,C. Mamilius Turrinus,Q. Valerius Falto,,https://en.wikipedia.org/wiki/Gaius_Mamilius_Turrinus,https://en.wikipedia.org/wiki/Quintus_Valerius_Falto,Table_4,,,,
238,Ti. Sempronius Gracchus,P. Valerius Falto,,https://en.wikipedia.org/wiki/Tiberius_Sempronius_Gracchus_(consul_238_BC),https://en.wikipedia.org/wiki/Publius_Valerius_Falto,Table_4,,,,
237,L. Cornelius Lentulus Caudinus,Q. Fulvius Flaccus,,https://en.wikipedia.org/wiki/Lucius_Cornelius_Lentulus_Caudinus_(consul_237_BC),https://en.wikipedia.org/wiki/Quintus_Fulvius_Flaccus_(consul_237_BC),Table_4,,,,
236,P. Cornelius Lentulus Caudinus,C. Licinius Varus,,https://en.wikipedia.org/wiki/Publius_Cornelius_Lentulus_Caudinus,https://en.wikipedia.org/wiki/Gaius_Licinius_Varus,Table_4,,,,
235,T. Manlius Torquatus,C. Atilius Bulbus II,,https://en.wikipedia.org/wiki/Titus_Manlius_Torquatus_(consul_235_BC),https://en.wikipedia.org/wiki/Gaius_Atilius_Bulbus,Table_4,,,,
234,L. Postumius Albinus,Sp. Carvilius Maximus Ruga,,https://en.wikipedia.org/wiki/Lucius_Postumius_Albinus_(consul_234_BC),https://en.wikipedia.org/wiki/Spurius_Carvilius_Maximus_Ruga,Table_4,,,,
233,Q. Fabius Maximus Verrucosus,M'. Pomponius Matho,,https://en.wikipedia.org/wiki/Quintus_Fabius_Maximus_Verrucosus,https://en.wikipedia.org/wiki/Manius_Pomponius_Matho,Table_4,,,,
232,M. Aemilius Lepidus,M. Publicius Malleolus,,https://en.wikipedia.org/wiki/Marcus_Aemilius_Lepidus_(consul_232_BC),https://en.wikipedia.org/wiki/Marcus_Publicius_Malleolus,Table_4,,,,
231,M. Pomponius Matho,C. Papirius Maso,,https://en.wikipedia.org/wiki/Marcus_Pomponius_Matho,https://en.wikipedia.org/wiki/Gaius_Papirius_Maso,Table_4,,,,
230,M. Aemilius Barbula,M. Junius Pera,,https://en.wikipedia.org/wiki/Marcus_Aemilius_Barbula,https://en.wikipedia.org/wiki/Marcus_Junius_Pera,Table_4,,,,
229,L. Postumius Albinus II,Cn. Fulvius Centumalus,,https://en.wikipedia.org/wiki/Lucius_Postumius_Albinus_(consul_234_BC),https://en.wikipedia.org/wiki/Gnaeus_Fulvius_Centumalus,Table_4,,,,
228,Sp. Carvilius Maximus Ruga II,Q. Fabius Maximus Verrucosus II,,https://en.wikipedia.org/wiki/Spurius_Carvilius_Maximus_Ruga,https://en.wikipedia.org/wiki/Quintus_Fabius_Maximus_Verrucosus,Table_4,,,,
227,P. Valerius Flaccus,M. Atilius Regulus,,,https://en.wikipedia.org/wiki/Marcus_Atilius_Regulus_(consul_227_BC),Table_4,,,,
226,M. Valerius Messalla,L. Apustius Fullo,,https://en.wikipedia.org/wiki/Marcus_Valerius_Messalla_(consul_226_BC),,Table_4,,,,
225,L. Aemilius Papus,C. Atilius Regulus,,https://en.wikipedia.org/wiki/Lucius_Aemilius_Papus,https://en.wikipedia.org/wiki/Gaius_Atilius_Regulus_(consul_225_BC),Table_4,,,,
224,T. Manlius Torquatus II,Q. Fulvius Flaccus II,,https://en.wikipedia.org/wiki/Titus_Manlius_Torquatus_(consul_235_BC),https://en.wikipedia.org/wiki/Quintus_Fulvius_Flaccus_(consul_237_BC),Table_4,,,,
223,C. Flaminius,P. Furius Philus,,https://en.wikipedia.org/wiki/Gaius_Flaminius_(consul_223_BC),https://en.wikipedia.org/wiki/Publius_Furius_Philus,Table_4,,,,
222,M. Claudius Marcellus[80],Cn. Cornelius Scipio Calvus,,https://en.wikipedia.org/wiki/Marcus_Claudius_Marcellus,https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Scipio_Calvus,Table_4,,,,
221,P. Cornelius Scipio Asina,M. Minucius Rufus,,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_Asina,https://en.wikipedia.org/wiki/Marcus_Minucius_Rufus_(consul_221_BC),Table_4,,,,
220,M. Valerius Laevinus (invalidated),Q. Mucius Scaevola (invalidated),,https://en.wikipedia.org/wiki/Marcus_Valerius_Laevinus,https://en.wikipedia.org/wiki/Quintus_Mucius_Scaevola_(praetor_215_BC),Table_4,,,,
220,C. Lutatius Catulus,L. Veturius Philo,,https://en.wikipedia.org/wiki/Gaius_Lutatius_Catulus_(consul_220_BC),https://en.wikipedia.org/wiki/Lucius_Veturius_Philo_(consul_220_BC),Table_4,,,,
219,L. Aemilius Paullus,M. Livius Salinator,,https://en.wikipedia.org/wiki/Lucius_Aemilius_Paullus_(consul_219_BC),https://en.wikipedia.org/wiki/Marcus_Livius_Salinator,Table_4,,,,
218,P. Cornelius Scipio,Ti. Sempronius Longus,,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_(consul_218_BC),https://en.wikipedia.org/wiki/Tiberius_Sempronius_Longus_(consul_218_BC),Table_4,,,,
217,Cn. Servilius Geminus,C. Flaminius II,,https://en.wikipedia.org/wiki/Gnaeus_Servilius_Geminus,https://en.wikipedia.org/wiki/Gaius_Flaminius_(consul_223_BC),Table_4,,,,
suff.,,M. Atilius Regulus II,,,https://en.wikipedia.org/wiki/Marcus_Atilius_Regulus_(consul_227_BC),Table_4,,,,
216,C. Terentius Varro,L. Aemilius Paullus II,,https://en.wikipedia.org/wiki/Gaius_Terentius_Varro,https://en.wikipedia.org/wiki/Lucius_Aemilius_Paullus_(consul_219_BC),Table_4,,,,
215,L. Postumius Albinus III (killed before taking office),Ti. Sempronius Gracchus,,https://en.wikipedia.org/wiki/Lucius_Postumius_Albinus_(consul_234_BC),https://en.wikipedia.org/wiki/Tiberius_Sempronius_Gracchus_(consul_215_BC),Table_4,,,,
suff.,M. Claudius Marcellus II (invalidated),,,https://en.wikipedia.org/wiki/Marcus_Claudius_Marcellus,,Table_4,,,,
suff.,Q. Fabius Maximus Verrucosus III,,,https://en.wikipedia.org/wiki/Quintus_Fabius_Maximus_Verrucosus,,Table_4,,,,
214,Q. Fabius Maximus Verrucosus IV,M. Claudius Marcellus III,,https://en.wikipedia.org/wiki/Quintus_Fabius_Maximus_Verrucosus,https://en.wikipedia.org/wiki/Marcus_Claudius_Marcellus,Table_4,,,,
213,Q. Fabius Maximus,Ti. Sempronius Gracchus II,,https://en.wikipedia.org/wiki/Quintus_Fabius_Maximus_(consul_213_BC),https://en.wikipedia.org/wiki/Tiberius_Sempronius_Gracchus_(consul_215_BC),Table_4,,,,
212,Q. Fulvius Flaccus III,Ap. Claudius Pulcher,,https://en.wikipedia.org/wiki/Quintus_Fulvius_Flaccus_(consul_237_BC),https://en.wikipedia.org/wiki/Appius_Claudius_Pulcher_(consul_212_BC),Table_4,,,,
211,Cn. Fulvius Centumalus Maximus,P. Sulpicius Galba Maximus,,https://en.wikipedia.org/wiki/Gnaeus_Fulvius_Centumalus_Maximus,https://en.wikipedia.org/wiki/Publius_Sulpicius_Galba_Maximus,Table_4,,,,
210,M. Claudius Marcellus IV,M. Valerius Laevinus II,,https://en.wikipedia.org/wiki/Marcus_Claudius_Marcellus,https://en.wikipedia.org/wiki/Marcus_Valerius_Laevinus,Table_4,,,,
209,Q. Fabius Maximus Verrucosus V,Q. Fulvius Flaccus IV,,https://en.wikipedia.org/wiki/Quintus_Fabius_Maximus_Verrucosus,https://en.wikipedia.org/wiki/Quintus_Fulvius_Flaccus_(consul_237_BC),Table_4,,,,
208,M. Claudius Marcellus V,T. Quinctius Crispinus,,https://en.wikipedia.org/wiki/Marcus_Claudius_Marcellus,https://en.wikipedia.org/wiki/Titus_Quinctius_Crispinus,Table_4,,,,
207,C. Claudius Nero,M. Livius Salinator II,,https://en.wikipedia.org/wiki/Gaius_Claudius_Nero,https://en.wikipedia.org/wiki/Marcus_Livius_Salinator,Table_4,,,,
206,L. Veturius Philo,Q. Caecilius Metellus,,https://en.wikipedia.org/wiki/Lucius_Veturius_Philo_(consul_206_BC),https://en.wikipedia.org/wiki/Quintus_Caecilius_Metellus_(consul_206_BC),Table_4,,,,
205,P. Cornelius Scipio (Africanus),P. Licinius Crassus Dives,,https://en.wikipedia.org/wiki/Scipio_Africanus,https://en.wikipedia.org/wiki/Publius_Licinius_Crassus_Dives_(censor),Table_4,,,,
204,M. Cornelius Cethegus,P. Sempronius Tuditanus,,https://en.wikipedia.org/wiki/Marcus_Cornelius_Cethegus_(consul_204_BC),https://en.wikipedia.org/wiki/Publius_Sempronius_Tuditanus,Table_4,,,,
203,Cn. Servilius Caepio,C. Servilius Geminus,,https://en.wikipedia.org/wiki/Gnaeus_Servilius_Caepio_(consul_203_BC),https://en.wikipedia.org/wiki/Gaius_Servilius_Geminus_(consul),Table_4,,,,
202,M. Servilius Pulex Geminus,Ti. Claudius Nero,,https://en.wikipedia.org/wiki/Marcus_Servilius_Pulex_Geminus,https://en.wikipedia.org/wiki/Tiberius_Claudius_Nero_(consul_202_BC),Table_4,,,,
201,Cn. Cornelius Lentulus,P. Aelius Paetus,,https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Lentulus_(consul_201_BC),https://en.wikipedia.org/wiki/Publius_Aelius_Paetus,Table_4,,,,
Year,,,,,,Table_5,,,,
200,P. Sulpicius Galba Maximus II,C. Aurelius Cotta,,https://en.wikipedia.org/wiki/Publius_Sulpicius_Galba_Maximus,https://en.wikipedia.org/wiki/Gaius_Aurelius_Cotta_(consul_200_BC),Table_5,,,,
199,L. Cornelius Lentulus,P. Villius Tappulus,,https://en.wikipedia.org/wiki/Lucius_Cornelius_Lentulus_(consul_199_BC),https://en.wikipedia.org/wiki/Publius_Villius_Tappulus,Table_5,,,,
198,T. Quinctius Flamininus,Sex. Aelius Paetus Catus,,https://en.wikipedia.org/wiki/Titus_Quinctius_Flamininus,https://en.wikipedia.org/wiki/Sextus_Aelius_Paetus_Catus,Table_5,,,,
197,C. Cornelius Cethegus,Q. Minucius Rufus,,https://en.wikipedia.org/wiki/Gaius_Cornelius_Cethegus_(consul),https://en.wikipedia.org/wiki/Quintus_Minucius_Rufus,Table_5,,,,
196,L. Furius Purpureo,M. Claudius Marcellus,,https://en.wikipedia.org/wiki/Lucius_Furius_Purpureo,https://en.wikipedia.org/wiki/Marcus_Claudius_Marcellus_(consul_196_BC),Table_5,,,,
195,L. Valerius Flaccus,M. Porcius Cato,,https://en.wikipedia.org/wiki/Lucius_Valerius_Flaccus_(consul_195_BC),https://en.wikipedia.org/wiki/Cato_the_Censor,Table_5,,,,
194,P. Cornelius Scipio Africanus II,Ti. Sempronius Longus,,https://en.wikipedia.org/wiki/Scipio_Africanus,https://en.wikipedia.org/wiki/Tiberius_Sempronius_Longus_(consul_194_BC),Table_5,,,,
193,L. Cornelius Merula,Q. Minucius Thermus,,https://en.wikipedia.org/wiki/Lucius_Cornelius_Merula_(consul_193_BC),https://en.wikipedia.org/wiki/Quintus_Minucius_Thermus_(consul_193_BC),Table_5,,,,
192,L. Quinctius Flamininus,Cn. Domitius Ahenobarbus,,https://en.wikipedia.org/wiki/Lucius_Quinctius_Flamininus,https://en.wikipedia.org/wiki/Gnaeus_Domitius_Ahenobarbus_(consul_192_BC),Table_5,,,,
191,P. Cornelius Scipio Nasica,M'. Acilius Glabrio,,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_Nasica_(consul_191_BC),https://en.wikipedia.org/wiki/Manius_Acilius_Glabrio_(consul_191_BC),Table_5,,,,
190,L. Cornelius Scipio Asiaticus,C. Laelius,,https://en.wikipedia.org/wiki/Lucius_Cornelius_Scipio_Asiaticus,https://en.wikipedia.org/wiki/Gaius_Laelius,Table_5,,,,
189,M. Fulvius Nobilior,Cn. Manlius Vulso,,https://en.wikipedia.org/wiki/Marcus_Fulvius_Nobilior_(consul_189_BC),https://en.wikipedia.org/wiki/Gnaeus_Manlius_Vulso_(consul_189_BC),Table_5,,,,
188,M. Valerius Messalla,C. Livius Salinator,,https://en.wikipedia.org/wiki/Marcus_Valerius_Messalla_(consul_188_BC),https://en.wikipedia.org/wiki/Gaius_Livius_Salinator,Table_5,,,,
187,M. Aemilius Lepidus,C. Flaminius,,https://en.wikipedia.org/wiki/Marcus_Aemilius_Lepidus_(consul_187_BC),https://en.wikipedia.org/wiki/Gaius_Flaminius_(consul_187_BC),Table_5,,,,
186,Sp. Postumius Albinus,Q. Marcius Philippus,,https://en.wikipedia.org/wiki/Spurius_Postumius_Albinus_(consul_186_BC),https://en.wikipedia.org/wiki/Quintus_Marcius_Philippus_(consul_186_BC),Table_5,,,,
185,Ap. Claudius Pulcher,M. Sempronius Tuditanus,,https://en.wikipedia.org/wiki/Appius_Claudius_Pulcher_(consul_185_BC),https://en.wikipedia.org/wiki/Marcus_Sempronius_Tuditanus_(consul_185_BC),Table_5,,,,
184,P. Claudius Pulcher,L. Porcius Licinus,,https://en.wikipedia.org/wiki/Publius_Claudius_Pulcher_(consul_184_BC),https://en.wikipedia.org/wiki/Lucius_Porcius_Licinus_(consul),Table_5,,,,
183,M. Claudius Marcellus,Q. Fabius Labeo,,,https://en.wikipedia.org/wiki/Quintus_Fabius_Labeo,Table_5,,,,
182,Cn. Baebius Tamphilus,L. Aemilius Paullus (Macedonicus),,https://en.wikipedia.org/wiki/Gnaeus_Baebius_Tamphilus_(consul),https://en.wikipedia.org/wiki/Lucius_Aemilius_Paullus_Macedonicus,Table_5,,,,
181,P. Cornelius Cethegus,M. Baebius Tamphilus,,https://en.wikipedia.org/wiki/Publius_Cornelius_Cethegus_(consul),https://en.wikipedia.org/wiki/Marcus_Baebius_Tamphilus,Table_5,,,,
180,A. Postumius Albinus Luscus,C. Calpurnius Piso,,https://en.wikipedia.org/wiki/Aulus_Postumius_Albinus_Luscus,,Table_5,,,,
suff.,,Q. Fulvius Flaccus,,,,Table_5,,,,
179,Q. Fulvius Flaccus,L. Manlius Acidinus Fulvianus,,https://en.wikipedia.org/wiki/Quintus_Fulvius_Flaccus_(consul_179_BC),https://en.wikipedia.org/wiki/Lucius_Manlius_Acidinus_Fulvianus,Table_5,,,,
178,M. Junius Brutus,A. Manlius Vulso,,https://en.wikipedia.org/wiki/Marcus_Junius_Brutus_(consul),https://en.wikipedia.org/wiki/Aulus_Manlius_Vulso_(consul_178_BC),Table_5,,,,
177,C. Claudius Pulcher,Ti. Sempronius Gracchus,,https://en.wikipedia.org/wiki/Gaius_Claudius_Pulcher_(consul_177_BC),https://en.wikipedia.org/wiki/Tiberius_Sempronius_Gracchus_(consul_177_BC),Table_5,,,,
176,Cn. Cornelius Scipio Hispallus,Q. Petillius Spurinus,,https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Scipio_Hispallus,https://en.wikipedia.org/wiki/Quintus_Petillius_Spurinus,Table_5,,,,
suff.,C. Valerius Laevinus,,,,,Table_5,,,,
175,P. Mucius Scaevola,M. Aemilius Lepidus II,,https://en.wikipedia.org/wiki/Publius_Mucius_Scaevola_(triumphator),https://en.wikipedia.org/wiki/Marcus_Aemilius_Lepidus_(consul_187_BC),Table_5,,,,
174,Sp. Postumius Albinus Paullulus,Q. Mucius Scaevola,,https://en.wikipedia.org/wiki/Spurius_Postumius_Albinus_Paullulus,https://en.wikipedia.org/wiki/Quintus_Mucius_Scaevola_(consul_174_BC),Table_5,,,,
173,L. Postumius Albinus,M. Popillius Laenas,,https://en.wikipedia.org/wiki/Lucius_Postumius_Albinus_(consul_173_BC),https://en.wikipedia.org/wiki/Marcus_Popillius_Laenas_(consul_173_BC),Table_5,,,,
172,C. Popillius Laenas,P. Aelius Ligus,,https://en.wikipedia.org/wiki/Gaius_Popillius_Laenas,https://en.wikipedia.org/wiki/Publius_Aelius_Ligus,Table_5,,,,
171,P. Licinius Crassus,C. Cassius Longinus,,https://en.wikipedia.org/wiki/Publius_Licinius_Crassus_(consul_171_BC),https://en.wikipedia.org/wiki/Gaius_Cassius_Longinus_(consul_171_BC),Table_5,,,,
170,A. Hostilius Mancinus,A. Atilius Serranus,,https://en.wikipedia.org/wiki/Aulus_Hostilius_Mancinus,https://en.wikipedia.org/wiki/Aulus_Atilius_Serranus_(consul_170_BC),Table_5,,,,
169,Q. Marcius Philippus II,Cn. Servilius Caepio,,https://en.wikipedia.org/wiki/Quintus_Marcius_Philippus_(consul_186_BC),https://en.wikipedia.org/wiki/Gnaeus_Servilius_Caepio_(consul_169_BC),Table_5,,,,
168,L. Aemilius Paullus Macedonicus II,C. Licinius Crassus,,https://en.wikipedia.org/wiki/Lucius_Aemilius_Paullus_Macedonicus,https://en.wikipedia.org/wiki/Gaius_Licinius_Crassus_(consul),Table_5,,,,
167,Q. Aelius Paetus,M. Junius Pennus,,,https://en.wikipedia.org/wiki/Marcus_Junius_Pennus_(consul),Table_5,,,,
166,M. Claudius Marcellus,C. Sulpicius Galus,,https://en.wikipedia.org/wiki/Marcus_Claudius_Marcellus_(consul_166_BC),https://en.wikipedia.org/wiki/Gaius_Sulpicius_Gallus,Table_5,,,,
165,T. Manlius Torquatus,Cn. Octavius,,https://en.wikipedia.org/wiki/Titus_Manlius_Torquatus_(consul_165_BC),https://en.wikipedia.org/wiki/Gnaeus_Octavius_(consul_165_BC),Table_5,,,,
164,A. Manlius Torquatus,Q. Cassius Longinus,,,,Table_5,,,,
163,Ti. Sempronius Gracchus II,M'. Juventius Thalna,,https://en.wikipedia.org/wiki/Tiberius_Sempronius_Gracchus_(consul_177_BC),,Table_5,,,,
162,P. Cornelius Scipio Nasica Corculum,C. Marcius Figulus,,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_Nasica_Corculum,https://en.wikipedia.org/wiki/Gaius_Marcius_Figulus_(consul_162_BC),Table_5,,,,
suff.,P. Cornelius Lentulus,Cn. Domitius Ahenobarbus,,https://en.wikipedia.org/wiki/Publius_Cornelius_Lentulus_(consul_162_BC),https://en.wikipedia.org/wiki/Gnaeus_Domitius_Ahenobarbus_(consul_162_BC),Table_5,,,,
161,M. Valerius Messalla,C. Fannius Strabo,,https://en.wikipedia.org/wiki/Marcus_Valerius_Messalla_(consul_161_BC),https://en.wikipedia.org/wiki/Gaius_Fannius_Strabo,Table_5,,,,
